source,title,authors,subfield,published
arxiv,Cognitive Workspace: Active Memory Management for LLMs -- An Empirical Study of Functional Infinite Context,Tao An,,2025-08-08T16:32:47Z
arxiv,Cognitive network science for understanding online social cognitions: A brief review,Massimo Stella,,2021-02-25T11:53:28Z
arxiv,Beyond Isolation: Towards an Interactionist Perspective on Human Cognitive Bias and AI Bias,Nick von Felten,,2025-04-26T01:24:19Z
arxiv,Distributed Cognition for AI-supported Remote Operations: Challenges and Research Directions,"Rune Møberg Jacobsen, Joel Wester, Helena Bøjer Djernæs, Niels van Berkel",,2025-04-21T09:53:49Z
arxiv,Temporal Dynamics of Emotion and Cognition in Human Translation: Integrating the Task Segment Framework and the HOF Taxonomy,Michael Carl,,2024-05-06T02:07:13Z
arxiv,Intelligent Interaction Strategies for Context-Aware Cognitive Augmentation,"Xiangrong, Zhu, Yuan Xu, Tianjian Liu, Jingwei Sun, Yu Zhang, Xin Tong",,2025-04-18T13:35:21Z
arxiv,"A mechanistic model of connector hubs, modularity, and cognition","Maxwell A. Bertolero, B. T. T. Yeo, Danielle S. Bassett, Mark D'Esposito",,2018-03-21T19:55:37Z
arxiv,Emotion in Cognitive Architecture: Emergent Properties from Interactions with Human Emotion,Junya Morita,,2022-12-28T23:50:27Z
arxiv,Who/What is My Teammate? Team Composition Considerations in Human-AI Teaming,"Nathan J. McNeese, Beau G. Schelble, Lorenzo Barberis Canonico, Mustafa Demir",,2021-05-23T19:06:18Z
arxiv,Trust and Cognitive Load During Human-Robot Interaction,"Muneeb Imtiaz Ahmad, Jasmin Bernotat, Katrin Lohan, Friederike Eyssel",,2019-09-11T15:56:22Z
arxiv,"Calculating Cognitive Augmentation, A Case Study",Ron Fulbright,,2022-11-11T20:48:29Z
arxiv,Cognitive Load-based Affective Workload Allocation for Multi-human Multi-robot Teams,"Wonse Jo, Ruiqi Wang, Baijian Yang, Dan Foti, Mo Rastgaar, Byung-Cheol Min",,2023-03-18T18:01:39Z
arxiv,Cognitive Dissonance Artificial Intelligence (CD-AI): The Mind at War with Itself. Harnessing Discomfort to Sharpen Critical Thinking,Delia Deliu,,2025-04-23T03:18:05Z
arxiv,Grip force as a functional window to somatosensory cognition,Birgitta Dresp-Langley,,2022-10-16T16:58:07Z
arxiv,On Measuring Cognition and Cognitive Augmentation,Ron Fulbright,,2022-11-11T20:37:45Z
arxiv,On the Cognition of Visual Question Answering Models and Human Intelligence: A Comparative Study,"Liben Chen, Long Chen, Tian Ellison-Chen, Zhuoyuan Xu",,2023-10-04T02:06:48Z
arxiv,Human Cognition and Language Processing with Neural-Lexicon Hypothesis,"Zang-Hee Cho, Sun-Ha Paek, Young-Bo Kim, Taigyoun Cho, Hyejin Jeong, Haigun Lee",,2022-10-24T05:31:09Z
arxiv,Designing AI Systems that Augment Human Performed vs. Demonstrated Critical Thinking,"Katelyn Xiaoying Mei, Nic Weber",,2025-04-20T17:40:28Z
arxiv,A Planck Radiation and Quantization Scheme for Human Cognition and Language,"Diederik Aerts, Lester Beltran",,2022-01-10T12:13:23Z
arxiv,CogReact: A Reinforced Framework to Model Human Cognitive Reaction Modulated by Dynamic Intervention,"Songlin Xu, Xinyu Zhang",,2023-01-15T23:46:37Z
arxiv,The Role of Reciprocity and Directionality of Friendship Ties in Promoting Behavioral Change,"Abdullah Almaatouq, Laura Radaelli, Alex Pentland, Erez Shmueli",,2016-10-12T23:41:01Z
arxiv,Behavioral Switching Loss Modeling of Inverter Modules,"Kateryna Stoyka, Ricieri Akihito Pessinatti Ohashi, Nicola Femia",,2019-06-11T08:05:52Z
arxiv,Behavioral Sequence Modeling with Ensemble Learning,"Maxime Kawawa-Beaudan, Srijan Sood, Soham Palande, Ganapathy Mani, Tucker Balch, Manuela Veloso",,2024-11-04T15:34:28Z
arxiv,Policy-focused Agent-based Modeling using RL Behavioral Models,"Osonde A. Osoba, Raffaele Vardavas, Justin Grana, Rushil Zutshi, Amber Jaycocks",,2020-06-09T04:55:07Z
arxiv,Persistence in voting behavior: stronghold dynamics in elections,"Toni Pérez, Juan Fernández-Gracia, Jose J. Ramasco, Víctor M. Eguíluz",,2015-03-23T15:48:30Z
arxiv,LA-LDA: A Limited Attention Topic Model for Social Recommendation,"Jeon-Hyung Kang, Kristina Lerman, Lise Getoor",,2013-01-26T18:26:36Z
arxiv,Multimodal AI-based visualization of strategic leaders' emotional dynamics: a deep behavioral analysis of Trump's trade war discourse,Wei Meng,,2025-05-22T06:19:57Z
arxiv,Automata Describing Object Behavior,"Bernhard Rumpe, Cornel Klein",,2014-11-10T13:09:48Z
arxiv,Understanding the Hoarding Behaviors during the COVID-19 Pandemic using Large Scale Social Media Data,"Xupin Zhang, Hanjia Lyu, Jiebo Luo",,2020-10-15T16:02:25Z
arxiv,Understanding Illicit Drug Use Behaviors by Mining Social Media,"Yiheng Zhou, Numair Sani, Chia-Kuei Lee, Jiebo Luo",,2016-04-24T23:51:22Z
arxiv,A Mathematical Model for the Behavior of Pedestrians,Dirk Helbing,,1998-05-18T07:28:24Z
arxiv,How Different AI Chatbots Behave? Benchmarking Large Language Models in Behavioral Economics Games,"Yutong Xie, Yiyao Liu, Zhuang Ma, Lin Shi, Xiyuan Wang, Walter Yuan, Matthew O. Jackson, Qiaozhu Mei",,2024-12-16T21:25:45Z
arxiv,A Story of Two Streams: Reinforcement Learning Models from Human Behavior and Neuropsychiatry,"Baihan Lin, Guillermo Cecchi, Djallel Bouneffouf, Jenna Reinen, Irina Rish",,2019-06-21T03:31:37Z
arxiv,Towards behavioral consistency in heterogeneous modeling scenarios,Tim Kräuter,,2024-04-19T15:15:26Z
arxiv,Unforgettable Generalization in Language Models,"Eric Zhang, Leshem Chosen, Jacob Andreas",,2024-09-03T18:55:54Z
arxiv,Behavior Gated Language Models,"Prashanth Gurunath Shivakumar, Shao-Yen Tseng, Panayiotis Georgiou, Shrikanth Narayanan",,2019-08-31T02:10:32Z
arxiv,Inverse Resource Rational Based Stochastic Driver Behavior Model,"Mehmet Ozkan, Yao Ma",,2022-07-14T17:40:02Z
arxiv,Large language models for behavioral modeling: A literature survey,Muhammad Laiq,,2025-09-29T13:43:02Z
arxiv,Two-step growth mixture model to examine heterogeneity in nonlinear trajectories,"Jin Liu, Le Kang, Roy T. Sabo, Robert M. Kirkpatrick, Robert A. Perera",,2019-11-22T09:17:47Z
arxiv,From Forest to Zoo: Great Ape Behavior Recognition with ChimpBehave,"Michael Fuchs, Emilie Genty, Adrian Bangerter, Klaus Zuberbühler, Paul Cotofrei",,2024-05-30T13:11:08Z
arxiv,Emotion Recognition in the Wild using Deep Neural Networks and Bayesian Classifiers,"Luca Surace, Massimiliano Patacchiola, Elena Battini Sönmez, William Spataro, Angelo Cangelosi",,2017-09-12T13:09:22Z
arxiv,SAFER: Situation Aware Facial Emotion Recognition,"Mijanur Palash, Bharat Bhargava",,2023-06-14T20:42:26Z
arxiv,EMERSK -- Explainable Multimodal Emotion Recognition with Situational Knowledge,"Mijanur Palash, Bharat Bhargava",,2023-06-14T17:52:37Z
arxiv,Contextual Emotion Recognition using Large Vision Language Models,"Yasaman Etesam, Özge Nilay Yalçın, Chuxuan Zhang, Angelica Lim",,2024-05-14T23:24:12Z
